first_release_date,genres,id,name,platforms,summary,storyline
1602547200,"[13, 32, 34]",148990,Cat President 2: Purrlitical Revolution,"[3, 6, 14]",The cats are back to win your heart  and your vote in Cat President 2 Purrlitical Revolution a satirical otome game With a script thats over 100000 words long Cat President 2 is a visual novel packed full of romance humor and cute pictures of cats Fans of the first game and newcomers alike are sure to enjoy this game Cast your vote today,In a world where talking cats control the US government President DJ Nibbles is running for reelection  and youve been hired to stop him at all costs Who cares that youre a random rideshare driver who didnt even know an election was happening That doesnt mean you cant run the purrfect campaign  Can you handle the world of Presidential politics Do you even know what a campaign manager does Will you find love or heartbreak with your candidate Leading the purrlitical revolution is up to you  Because wouldnt things be better if humans werent in charge
1601942400,"[13, 15, 32]",148973,Andromeda: Rebirth of Humanity,"[3, 6]",Andromeda is a hybrid between a space 4X and an MMO for Android and PC Get dropped into an online universe sandbox with 2 galaxies full of planets to colonize Build structures like Mines to generate resources to build ships and engage in fleet battles with NPCs and other players,Missing
1602547200,[13],148946,Venture Valley,"[6, 14]",Venture Valley is an esportsstyle multiplayer game that lets you pit your business savvy against friends and competitors Slam down cards that will leave your opponents scrambling to deal with their muddling effects  or use the cards to bolster your own enterprises Build your empire from scratch starting with a dog walking business Then grow it by creating a successful minigolf pizza parlor drone delivery service robot factory and other exciting companies Earn money and reinvest in your hustle by upgrading your HQ showing everyone whos really the boss,Missing
1601942400,[32],148928,Block Arena,[6],Block Arena is an exciting online game where you try to stay alive on a constantly breaking map,Missing
1602201600,"[31, 32]",148925,Bitroom,[6],Bitroom is not a long story in the adventure genre about a teenager named Max Max is an ordinary schoolboy who dreams of becoming a game developer but he did not expect that this would lead to such consequences,Missing
1602720000,[32],148892,Ducks' Wrath,[6],Play as a fearless Duck burp and push your friends while hot dogs fall from the skies Compete for the leaderboard highest score in the single player challenges Oh and dont fall from the slippery ice,Missing
1603929600,[32],148828,Fade,[6],Investigate the strange occurrences in a small town while slowly revealing the truth behind the formation of a local cult,Missing
1603929600,"[11, 13, 15]",148799,Stellaris: Necroids Species Pack,[6],The Necroids Species Pack features a brand new selection of portraits civics ship sets and other cosmetics for players who dont fear the afterlife and a unique Necrophage origin with new civics,Missing
1602460800,"[5, 8, 31, 32]",148742,Dungeons of Clay,"[3, 6, 130]",Explore the everchanging dungeons in the surreal world made of clay Unlock the hidden secrets overcome the dangers defeat dreadful creatures and reap the treasures to acquire almighty power Dont forget to bring your patience because you will have to merge all your talents and skills if youre ever going to reach the depths of the dungeon Procedurally generated dungeons tons of items and guns dynamic threats unique skills and randomized path stops will guarantee that no playthrough is the same Dungeons of Clay is built on the idea of permadeath and challenge but ensuring to maintain the fun with permanent unlockables and progress that rewards your time and increases your chances with each death,Missing
1602720000,"[14, 31, 32]",148687,Farm & Puzzle,[6],Your goal is to go through all the areas without leaving any empty space,Missing
1602374400,"[5, 24, 32]",148674,Red Dust,[6],Red Dust Hardcore FPS in a randomly generated world Move carefully shoot accurately and avoid being shot Mistakes have consequences Intense fastpaced action inspired by Receiver Play Red Dust for a thrilling FPS experience,Missing
1603843200,"[31, 32]",148641,Mortal Decay,[6],You are a veteran in a post World War 3 apocalyptic world Starving and alone you fight to keep your sanity in the hell that this world has decayed into In a desperate attempt to find food you stumble your way into an abandoned prison but you find out it is not as abandoned as you believed,Missing
1604102400,Missing,148555,Above the Stars,[6],Discover new worlds and build up mighty defences as you find your new home Above the Stars,Missing
1602806400,"[31, 32]",148539,Until Last Breath,[6],The Until Last Breath is a survival action game with multiple guns and character skins on a rework map In your dream suddenly you find yourself in a research facility with zombie hordes and they are coming in waves,Missing
1601856000,[31],148538,Mega Veg Man,"[3, 6, 14]",Put your platforming skills to the test in Mega Veg Man Travel world by world through this action platformer and save the land of veggies from the reign of a greater evil Soar through the air on trampolines bonk enemies and avoid launching yourself into hazards in this chaotic world of food,Missing
1601856000,"[12, 13]",148404,Chao Resort Island,[6],Chao Resort Island is a 25D Chao raising game available for PC and Mac The game takes place on a tropical island which hosts multiple resorts for you to raise your Chao in,Missing
